284.5330,284.5330,284.5330,284.5330,0
292.1250,292.1250,292.1250,292.1250,0
301.5250,301.5250,301.5250,301.5250,0
300.8020,300.8020,300.8020,300.8020,0
299.3560,299.3560,299.3560,299.3560,0
297.9100,297.9100,297.9100,297.9100,0
293.2100,293.2100,293.2100,293.2100,0
289.9560,289.9560,289.9560,289.9560,0
287.0640,287.0640,287.0640,287.0640,0
284.1710,284.1710,284.1710,284.1710,0
282.7250,282.7250,282.7250,282.7250,0
279.1100,279.1100,279.1100,279.1100,0
276.2170,276.2170,276.2170,276.2170,0
274.0480,274.0480,274.0480,274.0480,0
276.5790,276.5790,276.5790,276.5790,0
278.3870,278.3870,278.3870,278.3870,0
278.0250,278.0250,278.0250,278.0250,0
272.2410,272.2410,272.2410,272.2410,0
268.6250,268.6250,268.6250,268.6250,0
267.1790,267.1790,267.1790,267.1790,0
265.0100,265.0100,265.0100,265.0100,0
262.1170,262.1170,262.1170,262.1170,0
259.2250,259.2250,259.2250,259.2250,0
256.3330,256.3330,256.3330,256.3330,0
255.6100,255.6100,255.6100,255.6100,0
255.2480,255.2480,255.2480,255.2480,0
270.0710,270.0710,270.0710,270.0710,0
270.4330,270.4330,270.4330,270.4330,0
264.2870,264.2870,264.2870,264.2870,0
259.2250,259.2250,259.2250,259.2250,0
263.2020,263.2020,263.2020,263.2020,0
261.7560,261.7560,261.7560,261.7560,0
258.8630,258.8630,258.8630,258.8630,0
263.2020,263.2020,263.2020,263.2020,0
266.8170,266.8170,266.8170,266.8170,0
268.6250,268.6250,268.6250,268.6250,0
263.2020,263.2020,263.2020,263.2020,0
261.0330,261.0330,261.0330,261.0330,0
266.4560,266.4560,266.4560,266.4560,0
272.2410,272.2410,272.2410,272.2410,0
268.6250,268.6250,268.6250,268.6250,0
267.1790,267.1790,267.1790,267.1790,0
277.3020,277.3020,277.3020,277.3020,0
273.6870,273.6870,273.6870,273.6870,0
268.2640,268.2640,268.2640,268.2640,0
269.3480,269.3480,269.3480,269.3480,0
266.8170,266.8170,266.8170,266.8170,0
270.0710,270.0710,270.0710,270.0710,0
264.6480,264.6480,264.6480,264.6480,0
267.1790,267.1790,267.1790,267.1790,0
273.6870,273.6870,273.6870,273.6870,0
275.4940,275.4940,275.4940,275.4940,0
278.3870,278.3870,278.3870,278.3870,0
276.2170,276.2170,276.2170,276.2170,0
275.1330,275.1330,275.1330,275.1330,0
275.1330,275.1330,275.1330,275.1330,0
279.1100,279.1100,279.1100,279.1100,0
280.5560,280.5560,280.5560,280.5560,0
283.8100,283.8100,283.8100,283.8100,0
282.0020,282.0020,282.0020,282.0020,0
278.7480,278.7480,278.7480,278.7480,0
278.7480,278.7480,278.7480,278.7480,0
278.7480,278.7480,278.7480,278.7480,0
275.8560,275.8560,275.8560,275.8560,0
273.6870,273.6870,273.6870,273.6870,0
272.6020,272.6020,272.6020,272.6020,0
